url,text,super-long
https://zlatyfond.sme.sk/dielo/147/Sladkovic_Kratsie-basne/3,"Vzlietni nad svety v jasnotu éteru,
v priepastiach zemských prezeraj kryštály,
vstúp na dno mora, kde žijú koraly,
odkry si tajnú prírody zásteru,
pusť voľné zraky v oblakov priestory,
uchyť v čarovnom blesku meteory;
preleť po ľudstve od póla ku pólu,
slovenskej devy obdivuj lepotu,
Vatikán navštív, obdivuj peknotu,
helénskemu choď tešiť sa idolu;
tak Všehomíra zjednoť v svojom bytu,
zber všetko, čomu duch oddáva chválu,
vyber najkrajšie formy z krajín citu
a vystav krásu v božskom ideálu: —
      Ach, kto velikánsky prežiaľ ten ukojí,
      že v svete pri kráse vždy aj špata stojí!",
https://zlatyfond.sme.sk/dielo/147/Sladkovic_Kratsie-basne/4,"Už slnce za hory pozlátené padá
a sen sladký pokoj prírode podáva;
s mladým sa večerom hrá dolinka mladá
a zora milý blesk láskave uspáva:
      Cítim to, sladko mi doba táto hovie,
      ale čo to za slasť, ktože mi odpovie?

A tichá noc mrakom svety naše kryje
a svetlá čarovné jasným nebom seje;
zrak môj sa do bleskov nebeských zavije
a celým sa srdcom sladký cit rozleje:
      Hľadím, že snáď blesk ten na to mi odpovie,
      čo v ňom oko moje teší? ktože ho vie?

Nad horou strašná vylietla čierňava,
hrmí, hromy bijú, blýska sa a leje,
utíchne; — od hory k druhej hore vstáva
dúha a slnce sa milé zas usmeje:
      Oko moje v slze radostnej sa topí,
      ale čo za radosť to? kto ju pochopí?

Pod lipou si pekná mladucha sedela,
spievala ľúbezne a vienočky vila,
tvár sa jej pod ružou červenou belela
a v oku sa hviezda ranná roziskrila:
      V jej krásach sladko sa oko moje baví,
      ale krásu tých krás ktože mi vyjaví?",
https://zlatyfond.sme.sk/dielo/147/Sladkovic_Kratsie-basne/7,"Na kraj hory skala, na kraj skaly more,
na kraj mora tôňa, tôňa ľudskej tvári,
s ňou si blesk zahráva, bledý blesk mesiaca,
a ona si s bleskom belavým pohráva;
ale hra je to, jak rozhnevané vody
v zápasoch s divým a búriacim severom.
Hneď ticho stojí, hneď sebou zase trhá,
mrští sa o zem, jakby sa chcel pochovať
za živa; hneď zas sa vychytí hore a
žilnatým ramenom nebo chce uchopiť,
akoby strhnúť chcel k nížinám oblohu,
alebo vyšinúť seba k tým výšinám. —
A zver vydurená z ponocných peľachov
vyskočí, zastane, díva sa; díva sa
utíchly Oceán; aj hviezdy zvedavé
z ich belasých nebies na belasé more
okolo tej tône sadli si: myslel bys’,
že zlatých tisíce má očí Oceán;
mlčí aj sama noc v tichom užasnutí
a svieti si lampou nebeskou a hľadí
na hladinu mora, kde obraz strašlivý,
obraz divokosti, tieň duše zúfalej! —
Zhasil by nešťastník slabé svetlo noci,
aby ani tôňu on svoju nevidel,
aj aby od sveta on videný nebol:
ale keď to nemôž’, aspoň tichosť nočnú
prelomí a kliatbou zahrmí k nebesám,
a ohlas roznáša temnými horami
žaloby zúfalca diaľ a diaľ okolo:
„Šelmy pustých hôr tých, čo chcete? — mám šelmy
v duši svojej divšie nad vás! — A čo chcete,
vy lampy nebeské? — žiaden svit nádeje
od vás mi nepadá! — Čo chceš, ty zradná noc?
Či obraz čierneho smútku mi podávaš?
Čo si stíchol naraz, svet vodný? Asnáď chceš
počúvať žaloby duše rozbolenej? —
Hoj, viem už! Hýbate sa, zvery, a svetlo
z vás, vy hviezdy, prší: hýbanie a svetlo!
Živly to života: noc je odpor svetla,
smrť odpor života: čo padne v Oceán,
to zmizne, stratí sa, tak čo smrť uchytí,
zanikne, v hrobovej stratí sa hlbine.
Preťažké volenie! tu život a tam smrť,
tu dni plné biedy, tam strašné zhynutie!
Život môj, smrť moja! dve strany bytností,
ktorá z vás má spásu pre dušu zúfalú?
Hrozný je život, že nieto v ňom pokoja;
sladká je smrť, že v nej býva večná tichosť.
Sladký je život pre večný svoj nepokoj;
hrozná je smrť práve pre tú večnú tichosť! —
Čo? sladký je život? prekliaty je život:
v otroctve zrodila ma mať, a preto som
otrokom, a preto bič, hlad, hanba, reťaz
s osudom nešťastným od kolísky tvrdej
až dosiaľ mi dušu v otroctve trápili! —
Sám svätý ten Ganges, svätým mokom svojím
nevie zmyť z duše mi poškvrnu otroctva;
pes viac je tyranom nežli ja; červiaka
ušetrí v prachu tom noha brahmanova,
mňa panská surovosť šliape tvrdou pätou;
chrobák právo žitia má, ja v očiach katov
ani len života nezdám sa byť hoden!
Prečo aspoň práva smrti neužiješ,
keď právo života kradne ti poroba? —
Či všemožný Brahma preto ma len zrodil,
aby som nástrojom stal sa pýchy cudzej?
Či vôňu kvetov a príjemné ovocie
dáva len tyranom? — Hádam krádež je to,
keď vôňa kvetová oveje otroka?
Tuším každý pohľad na krásu prírody
je hriech a na veľkosť pomyslenie zločin!
Nič, nič nemá otrok: aj ten dych, čo dýcha,
je cudzí a s každým dýchnutím okrádza! —
Čo? sladký je život? prekliaty je život!
Čo odkladáš, more, vody svoje vyliať
a strhnúť v bezdnotu svoju zavrženca?
A čo, vy potvory, ostré nezatnete
pazúry do údov reťazmi zodraných? —
Život môj nebol môj, aspoň smrť je moja:
ohavnosť žitia, v tých vodách ťa utopím!
Vlastnej vôle plodom ani jedinký čin
nebol v biedach mojich, aspoň smrť nech bude
činom slobody! —“
                  A tu ešte jeden raz
zatočí zrakma po bohatej prírode
mládenec biedny — len skok — a dve milostné
ramená sa mu kol hrdla ovinuli. —
Obzrie sa — skrotne — vzdychne: „Otrok ľúbosti
ani umrieť nesmie! —“
                      A sklamané vody
pod milým a milou smutne zastenali.",
https://zlatyfond.sme.sk/dielo/147/Sladkovic_Kratsie-basne/9,"Na Sitna vrcholci dumná visí skala,
tam večne sedí samota trúchlivá,
tam si sedela, tam horko plakala
mať moja, mati biedna, žalostivá.
Šanuj sĺz mojich horké spomenutie,
ušetri bôľne duše mojej hnutie!
Storočných bôľov obraz to tam sedí,
tak biedny je nie obraz samej biedy;
sedela v závoj čierny zahalená,
žialila ťažkým žiaľom rozžialená:

„Synovia moji, nevďační synovia,
Sláviu, matku svoju viac neznajú!
Skalám žalujem, zlý svet sa mi smeje:
Vystúpte skál tých pravekí duchovia,
snáď vám sa pohnúť odrodilci dajú
a moje znovu ožijú nádeje!“
Ja som jej syn, je ona mati moja —
ó, aké boje v duši mojej stoja! —
No, čo sto bojov nado mnou zahučia,
ja s celou dušou padnem v jej náručia!

Ó, neplač, mati, mati naša drahá!
Zájde ten mrak, čo tvoje slnce kryje,
pre deti tvoje príde doba blahá. —
Málokto je tvoj, ale každý verný,
čo svedomie si zradou nezačierni;
nejedno srdce ešte k tebe bije,
odhodlanosť je, čo ťa vyslobodí,
táto nádeju — nádeja čin splodí,
a činom slávnym rod tvoj zas ožije! —
I neplač teda, mati naša drahá,
zájde ten mrak, čo tvoje slnce kryje,
a tebe, tvojim príde doba blahá!",
https://zlatyfond.sme.sk/dielo/147/Sladkovic_Kratsie-basne/10,"Načo si to srdce, načo si mi dal, Bože!
Keď nikomu v šírom svete ľúbiť sa nemôže?

Jakby ruže v poli nevidené spadali:
tak moje vädnúce krásy nik, nik nepochváli!

Sto žiaľov, bied tisíc dušu devy môž’ raniť:
a mňa, mňa tak opustenú nemá kto obrániť!

Kto číta tie slzy, čo v samote padajú?
Keď sa ústa požalovať nikomu nemajú!

Spievala by rada, na ústach mi hlas hynie:
lebo kto ma za tú pieseň ku srdcu privinie?

Žiadala by si smrť, ale načo hrob chváliť,
keď nad mojou mohylôčkou nemá kto požialiť!



",
https://zlatyfond.sme.sk/dielo/147/Sladkovic_Kratsie-basne/12,"V slzách matička sedela,
     často vzdychlo sa jej,
a malé, útle dievčatko
     vraví mamke svojej:

„Čo kropíš tými slzami
     moje žlté vlasy?
Či vari visia nad nami,
     mamička, zlé časy?“

Pritisknúc k srdcu vrelému
     mať púčok ružový,
a ústa k čielku bielemu,
     dcérušku osloví:

„Otec tvoj nechce z hrobu vstať,
     spod zelenej trávy:
a nevie, nevie tvoja mať,
     čo svet z teba spraví!

Svet má zbroje, tys’ bez zbroja,
     veľký svet, tys’ malá:
a nevie, nevie mať tvoja,
     komu ťa chovala!“

A slza v očiach dievčatka
     teší plač materi,
a potecha tečie sladká
     z nevinných úst dcéry:

„Dobrí sa zlostných neboja,
     čo by sa ich báli? —
Boh má zbroje, svet bez zbroja,
     Boh veľký, svet malý!“

A dve ľúbosti objímu
     nádeje svet nový;
pritiskne k srdcu vrelému
     mať púčok ružový.",
https://zlatyfond.sme.sk/dielo/147/Sladkovic_Kratsie-basne/14,"Hojže, Bože, jak to bolí,
keď sa junač roztratí
po tom šírom sveta poli
na chlebovej postati;
každý svojou pošiel stranou
hnaný žitia nevoľou;
v osamelých sa havranov
zmenil kŕdeľ sokolov!

      Hojže, Bože, jak to krušno,
      keď sloboda ťa nahá,
      keď ti ruky rovnodušno
      zviaže prísna prísaha;
      dvom susedom keď ustúpi
      družiny zhon veselý,
      a za tichý kút chalupy
      obetuješ svet celý!

Hojže, Bože, jak to smutno,
keď mladosť sa pominie,
keď čeľustie sa mohutnô
šedinami ovinie:
dumné péče zvládnu hlavou,
oheň očí vyhasne
a hruď, čo sa dme za slávou,
v nájomníctve opľasne!

      Hojže, Bože, jak to morí,
      keď žitie už uchodí
      a kajúcou dušou horí
      peklo hriecha a škody:
      kto mi vráti zašlé doby,
      čo ich mladosť zmárnila?
      Kto sa vráti, keď na hroby
      hodina zazvonila?

Hojže, Bože, Bože drahý,
ber len — veď čože stratím?
Na ten svet som prišiel nahý
a nahý sa navrátim;
len sa potom neuchyľuj
pred ostatnou potrebou:
pomiluj, Bože, pomiluj,
keď ostanem sám s tebou! —",
https://zlatyfond.sme.sk/dielo/147/Sladkovic_Kratsie-basne/17,"Zapadni, slniečko, čože už máš svietiť,
keď len samé žiale pri tebe mám svätiť.
Krásne si zapadlo, krásne si zas svitlo,
ale všetko milé pre teba odkvitlo.
Tá šťastná rodinka v tých zámockých múrach,
ako jasné slnce v čiernych neba chmúrach,
ako hviezd dakoľko na tom jasnom nebi —
zabudla na žitia surové potreby;
dokola zastala, tvár jej zaihrala
a ústmi sa pieseň sladká rozlievala.
Svietili nám oči, srdce nám skákalo,
akoby už z raja nikdy von nemalo;
stáli hry veselé, hudci šumno hrali,
nohy jarú radosť po chyži dupkali,
dupkali dokola, až sa všetko triaslo
a z jedného skoku sto druhých nariastlo;
nariastlo ich veľa a už všetky zmĺkli,
akoby holúbky z hájika vybŕkli;
vybŕkli, aby sa nikdy nevrátili,
ako tie hodiny, čo nás opustili. —

      Oj, mladosť, ty švárna mladostôčka moja!
Čože chvíľky tvoje len raz nepostoja?
Ale tajdú, letia, ako hronské vody
v ich strieborných vlnkách, na vlnkách slobody!
Až sa nám potom zdá ako pekné snenie
a nič nezostane, len milé spomnenie.
Srdce nám len chladne a život nám pustne,
a mladá, jará krv zmrzáva a hustne.

      Povedzže mi, družka, v hradbách tých zavrená,
povedz, čo tá tichosť v izbách tých znamená?
Veď tá tichosť mlčí, ale srdce volá,
že preč odletela radosť, čo tam bola:
a teraz zašumia tam len tvoje šaty,
zahrá si s bleskami prstienok tvoj zlatý,
až odšumia šaty a ten blesk sa stratí,
a pekné chvíľočky ktože nám navráti?

      Povedz mi ty, brat môj, čo v tom zámku chodíš,
s kýmže sa už teraz po tých izbách vodíš?
Vodíš sa ty, vodíš, ale so samotou,
ako vták okolo opŕchnutých plotov;
obzeráš sa vôkol, hľadáš tých priateľov,
ale tajšli, tajšli aj s chvíľkou veselou
a kŕdeľ radostí, čo tam s nami hrali,
hádam do tých hronských tokov popadali.

      Ponad háj hrdličky smutne hrkútajú,
že im spolu bývať zlí ľudia nedajú,
smutne hrkútajú, každá inde sadá,
oj, nerada býva sama duša mladá!
A keď nie je sama, čo je z takých spolkov,
kde srdce s ústami nehrá bez okolkov,
kde radosť nešumí, ale práca tlačí,
až sa nebo mladej duši zaoblačí
a dosť sa načaká zas na dníčok krásny,
v ktorom duša mladá znovu sa vyjasní!

      Preleteli zore po ožltlej hore,
preleteli zore po zámockom dvore,
preleteli dole, preleteli hore
a sadli do tône zlaté moje zore;
do tône si sadli, od žiaľu obľadli,
že zo zámku časy zábavu ukradli;
a keď požialili, k mesiačku leteli,
akoby sa v jeho svetlách ukryť chceli,
lebo čo by tu dol’ v pustom už hľadali,
keď im zábavôčku 
všetci Svätí
 vzali;
z neba ju doniesli, do neba ju vzali
a nás k chladnej zemi žiaľom priviazali.

      Zober sa, vetrík náš, hore šumným Hronom,
zastaň si nad pekným zábavy Sionom,
a povedz rodinke dobrej, čo tam žije,
že ešte ostatná hodina nebije,
že keď sa nevrátia 
všetci
 už ti 
Svätí
,
aspoň jeden, lebo druhý sa navráti;
a hádam donesie už či inde, či tam,
kŕdeľ pekných hodín, aké ja rád vítam.
Tej švárnej družičke zanes pozdravenie,
pozdravenie krásne: na šťastné videnie!
A ak by tej krásnej zábavy obrazy
spomnela si cez deň, cez noc, raz, dva razy,
aby aj sem peknou dušou zaletela
a i na mňa aspoň chvíľkou si spomnela.

      Zapadlo slniečko, tajšli Svätí všetci:
Dobrú noc vám! — Chlapci, budeme pri svieci!",
https://zlatyfond.sme.sk/dielo/147/Sladkovic_Kratsie-basne/18,"Zvon tichý k večeru zvoní
a noc padá z neba,
a po tom krásnom Pohroní
duch môj hľadá teba:
teba hľadá, družka moja,
a načo ťa hľadá?
Veď mu z mysle krása tvoja
nikdy nevypadá.

Ľúbil on devu dakedy,
slasť to bola krátka,
a zostal mu len tieň bledý
a žiaľna pamiatka.
Krásy tej devy povädli,
vernosť jej omdlela,
city mládenca ochladli
a ľúbosť umrela.

Tamtie city oplakané
zbila devy zrada:
nehaníš ho preto, však nie,
družka peknomladá?
Budúcnosť jeho skrytá je,
nie je on bez viny:
ale ty mu tvoríš raje
a blahé hodiny.

A nemôže dávať sľuby,
prísahy nedáva,
ale nakoľko ťa ľúbi,
zrak jeho rozpráva:
ty mlčíš, ty v srdci tajíš,
čo jemu drahô je,
ale čo vyznať sa hájiš:
vraví oko tvoje.",
https://zlatyfond.sme.sk/dielo/147/Sladkovic_Kratsie-basne/19,"Letel mladý sokol ponad Hron odhora,
čakala naň v horách zlatoústa zora:
Nevzdychal, nežialil, len mu duša vädla,
len mu kedys’ v hronské vody jedna slza spadla.

Spytuje sa zora: sokolík, čo ti je?
Či hladom umieraš? či ťa orol bije?
Či ti strelec v poli krídelko poranil?
Či ti Pán Boh šírym svetom preletať zabránil? —

Krásna zora moja! hladu sa nebojím,
brok ma nedočiahne, pred orlom obstojím,
slobodno mi lietať v šírej sveta diali:
ale mi môj háj zelený vrahovia zoťali. —

Drahý môj, nermúť sa, že ti háj zoťali,
veď oni môj zlatý zámok nezrúcali:
v ňom si poletujme ponad biedne svety,
tak žiaľ nikdy nezakalí naše šťastné lety! —

Oj, nie, duša moja! — sokol jej odvráva —
zámok tvoj zaplaví hromová mrákava:
zleť ty so mnou k stráňam zrúbanej dúbravy,
v zlatom blesku tvojich očí háj môj sa zotaví.

Na jarabom hrdle sokola prikľatá
ligoce sa slávou zorička zo zlata:
v očiach sokolových sladko sa uziera,
pozlacujúc voľných krídel milencových piera.

Letel mladý sokol ponad Hron oddola,
letela zorička na hrdle sokola: —
mrákava zablysla, skrížili sa strely —
Ach, Bože môj! nad milými vody sa zavreli! —",
